Country,Market,Product ID,Category,Sub-Category,Sales,Quantity,Profit,Product Name,,
United States,US,OFF-BI-10003527,Office Supplies,Binders,1016.792,1,381.297,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,,
United States,US,FUR-BO-10002213,Furniture,Bookcases,425.833,1,20.0392,DMI Eclipse Executive Suite Bookcases,,
United States,US,OFF-BI-10003527,Office Supplies,Binders,1270.99,1,635.495,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,,
United States,US,OFF-BI-10004584,Office Supplies,Binders,315.98,1,148.5106,GBC ProClick 150 Presentation Binding System,,
United States,US,TEC-MA-10002073,Technology,Machines,1039.992,1,103.9992,"3D Systems Cube Printer, 2nd Generation, White",,
United States,US,FUR-BO-10002213,Furniture,Bookcases,400.784,1,-5.0098,DMI Eclipse Executive Suite Bookcases,,
United States,US,TEC-PH-10000730,Technology,Phones,499.99,1,129.9974,Samsung Galaxy S4 Active,,
United States,US,FUR-TA-10001768,Furniture,Tables,210.008,1,2.6251,Hon Racetrack Conference Tables,,
United States,US,OFF-SU-10002881,Office Supplies,Supplies,666.248,1,-149.9058,Martin Yale Chadless Opener Electric Letter Opener,,
United States,US,FUR-TA-10004154,Furniture,Tables,286.85,1,63.107,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",,
United States,US,TEC-PH-10002584,Technology,Phones,625.99,1,187.797,Samsung Galaxy S4,,
United States,US,FUR-CH-10000155,Furniture,Chairs,239.24,1,23.924,Global Comet Stacking Armless Chair,,
United States,US,FUR-TA-10001539,Furniture,Tables,189.576,1,9.4788,Chromcraft Rectangular Conference Tables,,
United States,US,TEC-CO-10001571,Technology,Copiers,549.99,1,274.995,Sharp 1540cs Digital Laser Copier,,
United States,US,OFF-SU-10000646,Office Supplies,Supplies,240.37,1,7.2111,Premier Automatic Letter Opener,,
United States,US,TEC-CO-10001571,Technology,Copiers,439.992,1,164.997,Sharp 1540cs Digital Laser Copier,,
United States,US,OFF-AP-10002118,Office Supplies,Appliances,208.16,1,56.2032,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",,
United States,US,TEC-PH-10002624,Technology,Phones,469.99,1,136.2971,Samsung Galaxy S4 Mini,,
United States,US,FUR-CH-10001394,Furniture,Chairs,280.792,1,35.099,Global Leather Executive Chair,,
United States,US,OFF-AP-10003779,Office Supplies,Appliances,207.48,1,62.244,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,,
United States,US,TEC-PH-10003691,Technology,Phones,125.99,1,31.4975,BlackBerry Q10,,
United States,US,TEC-CO-10001046,Technology,Copiers,559.992,1,174.9975,Canon Imageclass D680 Copier / Fax,,
United States,US,FUR-TA-10003238,Furniture,Tables,385.686,1,-60.6078,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",,
United States,US,FUR-TA-10001889,Furniture,Tables,254.526,1,-93.3262,Bush Advantage Collection Racetrack Conference Table,,
United States,US,FUR-CH-10000595,Furniture,Chairs,190.72,1,11.92,Safco Contoured Stacking Chairs,,
United States,US,FUR-TA-10002903,Furniture,Tables,181.797,1,-15.5826,"Bevis Round Bullnose 29"" High Table Top",,
United States,US,TEC-AC-10003911,Technology,Accessories,159.99,1,54.3966,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,,
United States,US,TEC-CO-10001571,Technology,Copiers,439.992,1,164.997,Sharp 1540cs Digital Laser Copier,,
United States,US,FUR-TA-10003238,Furniture,Tables,275.49,1,-170.8038,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",,
United States,US,TEC-PH-10002483,Technology,Phones,271.992,1,23.7993,Motorola Moto X,,
United States,US,FUR-TA-10001307,Furniture,Tables,244.615,1,20.967,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",,
United States,US,FUR-CH-10000454,Furniture,Chairs,170.786,1,0,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",,
United States,US,TEC-AC-10001838,Technology,Accessories,199.99,1,85.9957,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,,
United States,US,FUR-CH-10004495,Furniture,Chairs,300.98,1,87.2842,"Global Leather and Oak Executive Chair, Black",,
United States,US,TEC-AC-10002253,Technology,Accessories,166.24,1,24.936,Imation Bio 8GB USB Flash Drive Imation Corp,,
United States,US,FUR-BO-10001337,Furniture,Bookcases,120.98,1,12.098,O'Sullivan Living Dimensions 2-Shelf Bookcases,,
United States,US,TEC-AC-10003033,Technology,Accessories,263.96,1,42.8935,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,,
United States,US,FUR-CH-10001482,Furniture,Chairs,117.882,1,1.3098,Office Star - Mesh Screen back chair with Vinyl seat,,
United States,US,TEC-MA-10003176,Technology,Machines,343.2,1,38.61,Okidata B400 Printer,,
United States,US,TEC-MA-10004002,Technology,Machines,265.475,1,-111.4995,Zebra GX420t Direct Thermal/Thermal Transfer Printer,,
United States,US,TEC-PH-10002447,Technology,Phones,164.792,1,18.5391,AT&T CL83451 4-Handset Telephone,,
United States,US,OFF-ST-10004459,Office Supplies,Storage,375.34,1,18.767,Tennsco Single-Tier Lockers,,
United States,US,FUR-CH-10002317,Furniture,Chairs,207.184,1,25.898,Global Enterprise Series Seating Low-Back Swivel/Tilt Chairs,,
United States,US,FUR-CH-10000785,Furniture,Chairs,144.784,1,10.8588,Global Ergonomic Managers Chair,,
United States,US,FUR-CH-10000847,Furniture,Chairs,290.98,1,75.6548,Global Executive Mid-Back Manager's Chair,,
United States,US,TEC-PH-10003645,Technology,Phones,161.61,1,42.0186,Aastra 57i VoIP phone,,
United States,US,FUR-CH-10004853,Furniture,Chairs,150.98,1,43.7842,"Global Manager's Adjustable Task Chair, Storm",,
United States,US,FUR-BO-10002916,Furniture,Bookcases,170.98,1,32.4862,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",,
United States,US,OFF-ST-10002276,Office Supplies,Storage,66.688,1,4.168,Safco Steel Mobile File Cart,,
United States,US,TEC-PH-10001817,Technology,Phones,286.4,1,25.06,Wilson Electronics DB Pro Signal Booster,,
United States,US,FUR-FU-10004188,Furniture,Furnishings,102.3,1,26.598,Luxo Professional Combination Clamp-On Lamps,,
United States,US,FUR-CH-10004495,Furniture,Chairs,240.784,1,27.0882,"Global Leather and Oak Executive Chair, Black",,
United States,US,OFF-PA-10000418,Office Supplies,Paper,104.85,1,50.328,Xerox 189,,
United States,US,TEC-PH-10001363,Technology,Phones,569.99,1,170.997,Apple iPhone 5S,,
United States,US,TEC-AC-10001432,Technology,Accessories,78.15,1,34.386,Enermax Aurora Lite Keyboard,,
United States,US,FUR-TA-10001307,Furniture,Tables,209.67,1,-13.978,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",,
United States,US,FUR-TA-10000577,Furniture,Tables,191.5155,1,-76.6062,Bretford CR4500 Series Slim Rectangular Table,,
United States,US,TEC-AC-10003832,Technology,Accessories,205.992,1,-2.5749,Logitech P710e Mobile Speakerphone,,
United States,US,FUR-TA-10004175,Furniture,Tables,272.848,1,27.2848,"Hon 30"" x 60"" Table with Locking Drawer",,
United States,US,TEC-PH-10002033,Technology,Phones,284.82,1,74.0532,Konftel 250 Conference phone - Charcoal black,,
United States,US,FUR-BO-10001811,Furniture,Bookcases,240.784,1,30.098,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",,
United States,US,FUR-BO-10001811,Furniture,Bookcases,204.6664,1,-6.0196,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",,
United States,US,FUR-TA-10002645,Furniture,Tables,136.53,1,-52.3365,Hon Rectangular Conference Tables,,
United States,US,FUR-TA-10003238,Furniture,Tables,330.588,1,-115.7058,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",,
United States,US,OFF-ST-10000078,Office Supplies,Storage,265.17,1,47.7306,Tennsco 6- and 18-Compartment Lockers,,
United States,US,TEC-PH-10004434,Technology,Phones,135.95,1,39.4255,Cisco IP Phone 7961G VoIP phone - Dark gray,,
United States,US,TEC-PH-10002468,Technology,Phones,135.99,1,36.7173,"Plantronics CS 50-USB - headset - Convertible, Monaural",,
United States,US,FUR-CH-10003606,Furniture,Chairs,89.768,1,-2.5648,SAFCO Folding Chair Trolley,,
United States,US,FUR-CH-10003981,Furniture,Chairs,179.886,1,-2.5698,Global Commerce Series Low-Back Swivel/Tilt Chairs,,
United States,US,FUR-TA-10004154,Furniture,Tables,200.795,1,-22.948,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",,
United States,US,OFF-PA-10004071,Office Supplies,Paper,55.48,1,26.6304,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",,
United States,US,OFF-ST-10001370,Office Supplies,Storage,70.98,1,3.549,Sensible Storage WireTech Storage Systems,,
United States,US,TEC-PH-10002468,Technology,Phones,135.99,1,36.7173,"Plantronics CS 50-USB - headset - Convertible, Monaural",,
United States,US,FUR-CH-10002126,Furniture,Chairs,195.184,1,19.5184,Hon Deluxe Fabric Upholstered Stacking Chairs,,
United States,US,TEC-PH-10001619,Technology,Phones,156.792,1,17.6391,LG G3,,
United States,US,FUR-CH-10001714,Furniture,Chairs,120.712,1,-18.1068,"Global Leather & Oak Executive Chair, Burgundy",,
United States,US,OFF-BI-10001359,Office Supplies,Binders,896.99,1,421.5853,GBC DocuBind TL300 Electric Binding System,,
United States,US,FUR-CH-10002961,Furniture,Chairs,72.784,1,0,"Leather Task Chair, Black",,
United States,US,OFF-AP-10002118,Office Supplies,Appliances,208.16,1,56.2032,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",,
United States,US,TEC-AC-10002253,Technology,Accessories,166.24,1,24.936,Imation Bio 8GB USB Flash Drive Imation Corp,,
United States,US,FUR-BO-10000468,Furniture,Bookcases,48.58,1,7.7728,O'Sullivan 2-Shelf Heavy-Duty Bookcases,,
United States,US,FUR-TA-10004442,Furniture,Tables,172.11,1,-94.6605,Riverside Furniture Stanwyck Manor Table Series,,
United States,US,FUR-CH-10001854,Furniture,Chairs,350.98,1,84.2352,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,,
United States,US,OFF-ST-10000142,Office Supplies,Storage,332.704,1,33.2704,Deluxe Rollaway Locking File with Drawer,,
United States,US,TEC-PH-10004959,Technology,Phones,100.49,1,25.1225,Classic Ivory Antique Telephone ZL1810,,
United States,US,OFF-BI-10003925,Office Supplies,Binders,387.99,1,182.3553,Fellowes PB300 Plastic Comb Binding Machine,,
United States,US,FUR-CH-10004626,Furniture,Chairs,90.801,1,14.1246,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,,
United States,US,FUR-CH-10001973,Furniture,Chairs,110.98,1,15.5372,Office Star Flex Back Scooter Chair with White Frame,,
United States,US,TEC-AC-10000580,Technology,Accessories,63.992,1,-7.1991,Logitech G13 Programmable Gameboard with LCD Display,,
United States,US,FUR-CH-10000988,Furniture,Chairs,112.648,1,11.2648,Hon Olson Stacker Stools,,
United States,US,TEC-CO-10002313,Technology,Copiers,599.99,1,233.9961,Canon PC1080F Personal Copier,,
United States,US,FUR-CH-10004853,Furniture,Chairs,120.784,1,13.5882,"Global Manager's Adjustable Task Chair, Storm",,
United States,US,FUR-CH-10002320,Furniture,Chairs,256.784,1,32.098,Hon Pagoda Stacking Chairs,,
United States,US,OFF-ST-10002344,Office Supplies,Storage,80.98,1,1.6196,"Carina 42""Hx23 3/4""W Media Storage Unit",,
United States,US,FUR-CH-10004860,Furniture,Chairs,70.686,1,-24.2352,Global Low Back Tilter Chair,,
United States,US,FUR-TA-10003473,Furniture,Tables,300.904,1,11.2839,Bretford Rectangular Conference Table Tops,,
United States,US,OFF-ST-10004459,Office Supplies,Storage,375.34,1,18.767,Tennsco Single-Tier Lockers,,
United States,US,FUR-TA-10000688,Furniture,Tables,108.925,1,-71.8905,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",,
United States,US,FUR-TA-10001866,Furniture,Tables,143.432,1,3.5858,Bevis Round Conference Room Tables and Bases,,
United States,US,TEC-PH-10003505,Technology,Phones,74.24,1,8.352,Geemarc AmpliPOWER60,,
United States,US,FUR-BO-10004360,Furniture,Bookcases,160.98,1,20.9274,Rush Hierlooms Collection Rich Wood Bookcases,,
United States,US,FUR-TA-10002356,Furniture,Tables,262.11,1,62.9064,Bevis Boat-Shaped Conference Table,,
United States,US,FUR-BO-10001601,Furniture,Bookcases,89.0664,1,-17.0274,"Sauder Mission Library with Doors, Fruitwood Finish",,
United States,US,FUR-CH-10000863,Furniture,Chairs,120.784,1,-13.5882,Novimex Swivel Fabric Task Chair,,
United States,US,OFF-AP-10001394,Office Supplies,Appliances,189,1,68.04,Harmony Air Purifier,,
United States,US,FUR-CH-10001545,Furniture,Chairs,102.582,1,6.8388,Hon Comfortask Task/Swivel Chairs,,
United States,US,FUR-FU-10004071,Furniture,Furnishings,104.01,1,14.5614,Luxo Professional Magnifying Clamp-On Fluorescent Lamps,,
United States,US,FUR-CH-10002602,Furniture,Chairs,135.882,1,24.1568,DMI Arturo Collection Mission-style Design Wood Chair,,
United States,US,TEC-AC-10000844,Technology,Accessories,84.99,1,30.5964,Logitech Gaming G510s - Keyboard,,
United States,US,TEC-CO-10000971,Technology,Copiers,299.99,1,89.997,Hewlett Packard 310 Color Digital Copier,,
United States,US,FUR-BO-10002206,Furniture,Bookcases,119.833,1,-12.6882,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",,
United States,US,OFF-ST-10003641,Office Supplies,Storage,78.8,1,1.576,Space Solutions Industrial Galvanized Steel Shelving.,,
United States,US,FUR-CH-10002647,Furniture,Chairs,63.882,1,10.647,"Situations Contoured Folding Chairs, 4/Set",,
United States,US,TEC-PH-10002310,Technology,Phones,156.792,1,13.7193,Plantronics Calisto P620-M USB Wireless Speakerphone System,,
United States,US,FUR-CH-10000988,Furniture,Chairs,140.81,1,39.4268,Hon Olson Stacker Stools,,
United States,US,FUR-BO-10003660,Furniture,Bookcases,220.98,1,50.8254,"Bush Cubix Collection Bookcases, Fully Assembled",,
United States,US,OFF-ST-10002583,Office Supplies,Storage,25.984,1,-5.1968,Fellowes Neat Ideas Storage Cubes,,
United States,US,TEC-PH-10004539,Technology,Phones,151.192,1,13.2293,Wireless Extenders zBoost YX545 SOHO Signal Booster,,
United States,US,OFF-PA-10000418,Office Supplies,Paper,104.85,1,50.328,Xerox 189,,
United States,US,FUR-FU-10002116,Furniture,Furnishings,70.71,1,4.9497,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",,
United States,US,TEC-AC-10004595,Technology,Accessories,142.8,1,29.988,First Data TMFD35 PIN Pad,,
United States,US,TEC-AC-10004171,Technology,Accessories,99.99,1,43.9956,Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset,,
United States,US,OFF-BI-10004318,Office Supplies,Binders,51.897,1,-41.5176,Ibico EB-19 Dual Function Manual Binding System,,
United States,US,TEC-AC-10003198,Technology,Accessories,99.6,1,36.852,Enermax Acrylux Wireless Keyboard,,
United States,US,FUR-TA-10004607,Furniture,Tables,103.481,1,-16.2613,Hon 2111 Invitation Series Straight Table,,
United States,US,OFF-AP-10002670,Office Supplies,Appliances,69.48,1,20.844,Belkin 8-Outlet Premiere SurgeMaster II Surge Protectors,,
United States,US,OFF-ST-10001490,Office Supplies,Storage,142.776,1,17.847,"Hot File 7-Pocket, Floor Stand",,
United States,US,OFF-ST-10002790,Office Supplies,Storage,73.85,1,2.2155,Safco Industrial Shelving,,
United States,US,TEC-AC-10003399,Technology,Accessories,36.24,1,15.2208,Memorex Mini Travel Drive 64 GB USB 2.0 Flash Drive,,
United States,US,FUR-BO-10002202,Furniture,Bookcases,72.294,1,-98.8018,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",,
United States,US,FUR-BO-10001619,Furniture,Bookcases,84.98,1,18.6956,O'Sullivan Cherrywood Estates Traditional Bookcase,,
United States,US,OFF-ST-10001526,Office Supplies,Storage,120.33,1,31.2858,Iceberg Mobile Mega Data/Printer Cart ,,
United States,US,TEC-PH-10002555,Technology,Phones,155.37,1,-36.253,Nortel Meridian M5316 Digital phone,,
United States,US,TEC-AC-10004975,Technology,Accessories,109.95,1,36.2835,Plantronics Audio 995 Wireless Stereo Headset,,
